>pcount	tstamp	src_dst_idn	port_port_idn	netrange_idn	country_idn	src_idn	dst_idn	lat	lon
1	1408.769	0	0	0	232	0	1	37.419	-122.057
4	1409.135	0	0	0	232	0	1	37.419	-122.057
5	1409.137	0	0	0	232	0	1	37.419	-122.057
6	1409.138	0	0	0	232	0	1	37.419	-122.057
7	1409.141	0	0	0	232	0	1	37.419	-122.057
8	1409.162	0	0	0	232	0	1	37.419	-122.057
11	1409.223	1	1	1	-1	1	0	0.000	0.000
12	1409.225	1	1	1	-1	1	0	0.000	0.000
12	1409.143	1	1	1	-1	1	0	0.000	0.000
12	1409.168	1	1	1	-1	1	0	0.000	0.000
12	1409.178	1	1	1	-1	1	0	0.000	0.000
20	1409.882	3	2	1	-1	2	0	0.000	0.000
21	1409.884	3	2	1	-1	2	0	0.000	0.000
22	1409.885	3	2	1	-1	2	0	0.000	0.000
19	1409.869	2	3	2	232	0	2	37.419	-122.057
22	1409.774	3	2	1	-1	2	0	0.000	0.000
22	1409.776	2	3	2	232	0	2	37.419	-122.057
22	1409.777	2	3	2	232	0	2	37.419	-122.057
22	1409.812	2	3	2	232	0	2	37.419	-122.057
22	1409.771	2	3	2	232	0	2	37.419	-122.057
22	1409.772	3	2	1	-1	2	0	0.000	0.000
24	1418.766	5	4	3	232	0	3	37.419	-122.057
24	1418.764	4	5	1	-1	3	0	0.000	0.000
32	1421.820	6	6	4	232	0	4	47.634	-122.342
33	1421.873	7	7	1	-1	4	0	0.000	0.000
34	1421.875	6	6	4	232	0	4	47.634	-122.342
32	1421.851	7	7	1	-1	4	0	0.000	0.000
34	1421.774	7	7	1	-1	4	0	0.000	0.000
34	1421.803	6	6	4	232	0	4	47.634	-122.342
34	1421.771	6	6	4	232	0	4	47.634	-122.342
34	1421.789	7	7	1	-1	4	0	0.000	0.000
34	1421.773	6	6	4	232	0	4	47.634	-122.342
34	1421.792	7	7	1	-1	4	0	0.000	0.000
41	1426.871	8	9	5	232	0	5	37.419	-122.057
42	1426.882	9	8	1	-1	5	0	0.000	0.000
43	1426.883	9	8	1	-1	5	0	0.000	0.000
44	1426.906	9	8	1	-1	5	0	0.000	0.000
44	1426.772	8	9	5	232	0	5	37.419	-122.057
44	1426.792	9	8	1	-1	5	0	0.000	0.000
44	1426.782	9	8	1	-1	5	0	0.000	0.000
44	1426.842	8	9	5	232	0	5	37.419	-122.057
44	1426.817	8	9	5	232	0	5	37.419	-122.057
44	1426.849	8	9	5	232	0	5	37.419	-122.057
47	1428.792	1	11	1	-1	1	0	0.000	0.000
48	1428.794	0	10	0	232	0	1	37.419	-122.057
49	1428.805	0	10	0	232	0	1	37.419	-122.057
50	1428.821	0	10	0	232	0	1	37.419	-122.057
51	1428.823	0	10	0	232	0	1	37.419	-122.057
52	1428.825	1	11	1	-1	1	0	0.000	0.000
53	1428.835	1	11	1	-1	1	0	0.000	0.000
54	1428.836	1	11	1	-1	1	0	0.000	0.000
60	1428.784	1	11	1	-1	1	0	0.000	0.000
60	1428.774	0	10	0	232	0	1	37.419	-122.057
63	1429.095	12	13	1	-1	6	0	0.000	0.000
64	1429.109	12	13	1	-1	6	0	0.000	0.000
66	1429.170	13	12	6	232	0	6	39.564	-75.597
65	1429.159	13	12	6	232	0	6	39.564	-75.597
67	1429.203	13	12	6	232	0	6	39.564	-75.597
68	1429.205	13	12	6	232	0	6	39.564	-75.597
69	1429.252	12	13	1	-1	6	0	0.000	0.000
70	1429.253	12	13	1	-1	6	0	0.000	0.000
71	1429.255	12	13	1	-1	6	0	0.000	0.000
72	1429.257	12	13	1	-1	6	0	0.000	0.000
73	1429.273	13	12	6	232	0	6	39.564	-75.597
74	1429.275	13	12	6	232	0	6	39.564	-75.597
74	1428.893	13	12	6	232	0	6	39.564	-75.597
74	1428.877	12	13	1	-1	6	0	0.000	0.000
74	1429.020	13	12	6	232	0	6	39.564	-75.597
74	1428.964	13	12	6	232	0	6	39.564	-75.597
74	1429.022	12	13	1	-1	6	0	0.000	0.000
74	1429.033	12	13	1	-1	6	0	0.000	0.000
74	1428.851	11	14	1	-1	7	0	0.000	0.000
74	1428.838	10	15	7	-1	0	7	0.000	0.000
82	1430.802	10	17	7	-1	0	7	0.000	0.000
82	1430.824	11	18	1	-1	7	0	0.000	0.000
82	1430.783	15	20	1	-1	8	0	0.000	0.000
82	1430.792	14	16	8	232	0	8	37.334	-121.892
82	1430.864	17	21	1	-1	9	0	0.000	0.000
82	1430.773	14	16	8	232	0	8	37.334	-121.892
82	1430.853	16	19	9	232	0	9	42.988	-71.465
82	1430.902	16	19	9	232	0	9	42.988	-71.465
91	1431.963	18	24	10	232	0	10	37.419	-122.057
92	1431.964	18	24	10	232	0	10	37.419	-122.057
93	1431.993	18	24	10	232	0	10	37.419	-122.057
94	1431.995	18	24	10	232	0	10	37.419	-122.057
95	1431.997	19	25	1	-1	10	0	0.000	0.000
96	1431.999	19	25	1	-1	10	0	0.000	0.000
97	1432.018	19	25	1	-1	10	0	0.000	0.000
98	1432.020	19	25	1	-1	10	0	0.000	0.000
98	1431.775	10	22	7	-1	0	7	0.000	0.000
99	1432.062	19	25	1	-1	10	0	0.000	0.000
100	1432.064	19	25	1	-1	10	0	0.000	0.000
101	1432.066	18	24	10	232	0	10	37.419	-122.057
101	1431.785	11	23	1	-1	7	0	0.000	0.000
102	1432.096	18	24	10	232	0	10	37.419	-122.057
103	1432.098	18	24	10	232	0	10	37.419	-122.057
104	1432.100	18	24	10	232	0	10	37.419	-122.057
104	1431.793	18	24	10	232	0	10	37.419	-122.057
104	1431.842	18	24	10	232	0	10	37.419	-122.057
105	1432.130	19	25	1	-1	10	0	0.000	0.000
106	1432.132	19	25	1	-1	10	0	0.000	0.000
107	1432.134	19	25	1	-1	10	0	0.000	0.000
108	1432.143	18	24	10	232	0	10	37.419	-122.057
109	1432.144	18	24	10	232	0	10	37.419	-122.057
109	1431.803	19	25	1	-1	10	0	0.000	0.000
110	1432.176	18	24	10	232	0	10	37.419	-122.057
111	1432.178	19	25	1	-1	10	0	0.000	0.000
112	1432.180	18	24	10	232	0	10	37.419	-122.057
113	1432.182	18	24	10	232	0	10	37.419	-122.057
113	1431.852	18	24	10	232	0	10	37.419	-122.057
113	1431.875	19	25	1	-1	10	0	0.000	0.000
114	1432.204	19	25	1	-1	10	0	0.000	0.000
116	1431.914	19	25	1	-1	10	0	0.000	0.000
119	1432.205	10	26	7	-1	0	7	0.000	0.000
119	1432.207	11	27	1	-1	7	0	0.000	0.000
123	1432.276	20	28	11	232	0	11	37.419	-122.057
123	1432.328	21	29	1	-1	11	0	0.000	0.000
123	1432.490	21	29	1	-1	11	0	0.000	0.000
123	1432.358	20	28	11	232	0	11	37.419	-122.057
124	1432.686	20	28	11	232	0	11	37.419	-122.057
125	1432.688	20	28	11	232	0	11	37.419	-122.057
125	1432.691	20	28	11	232	0	11	37.419	-122.057
125	1432.453	20	28	11	232	0	11	37.419	-122.057
125	1432.463	21	29	1	-1	11	0	0.000	0.000
126	1432.694	21	29	1	-1	11	0	0.000	0.000
127	1432.695	21	29	1	-1	11	0	0.000	0.000
128	1432.713	21	29	1	-1	11	0	0.000	0.000
129	1432.714	20	28	11	232	0	11	37.419	-122.057
130	1432.716	20	28	11	232	0	11	37.419	-122.057
131	1432.718	20	28	11	232	0	11	37.419	-122.057
132	1432.722	20	28	11	232	0	11	37.419	-122.057
133	1432.723	21	29	1	-1	11	0	0.000	0.000
136	1435.792	18	30	10	232	0	10	37.419	-122.057
137	1435.794	18	30	10	232	0	10	37.419	-122.057
138	1435.806	19	31	1	-1	10	0	0.000	0.000
139	1435.822	19	31	1	-1	10	0	0.000	0.000
140	1435.824	19	31	1	-1	10	0	0.000	0.000
141	1435.826	19	31	1	-1	10	0	0.000	0.000
142	1435.828	18	30	10	232	0	10	37.419	-122.057
143	1435.844	18	30	10	232	0	10	37.419	-122.057
144	1435.845	18	30	10	232	0	10	37.419	-122.057
145	1435.853	18	30	10	232	0	10	37.419	-122.057
146	1435.854	19	31	1	-1	10	0	0.000	0.000
147	1435.856	19	31	1	-1	10	0	0.000	0.000
148	1435.860	19	31	1	-1	10	0	0.000	0.000
149	1435.865	19	31	1	-1	10	0	0.000	0.000
150	1435.867	18	30	10	232	0	10	37.419	-122.057
151	1435.868	18	30	10	232	0	10	37.419	-122.057
152	1435.872	18	30	10	232	0	10	37.419	-122.057
153	1435.882	18	30	10	232	0	10	37.419	-122.057
154	1435.883	18	30	10	232	0	10	37.419	-122.057
155	1435.885	19	31	1	-1	10	0	0.000	0.000
157	1435.893	15	20	1	-1	8	0	0.000	0.000
158	1435.896	14	16	8	232	0	8	37.334	-121.892
158	1435.902	14	16	8	232	0	8	37.334	-121.892
158	1435.784	19	31	1	-1	10	0	0.000	0.000
158	1435.774	18	30	10	232	0	10	37.419	-122.057
164	1436.847	16	19	9	232	0	9	42.988	-71.465
166	1436.884	17	21	1	-1	9	0	0.000	0.000
167	1436.912	16	19	9	232	0	9	42.988	-71.465
167	1436.802	22	33	12	93	0	12	6.800	-58.167
167	1436.825	23	34	1	-1	12	0	0.000	0.000
167	1436.873	22	32	12	93	0	12	6.800	-58.167
167	1436.792	22	32	12	93	0	12	6.800	-58.167
167	1436.773	22	33	12	93	0	12	6.800	-58.167
167	1436.783	23	35	1	-1	12	0	0.000	0.000
168	1438.772	13	12	6	232	0	6	39.564	-75.597
169	1438.774	22	33	12	93	0	12	6.800	-58.167
170	1438.776	12	13	1	-1	6	0	0.000	0.000
171	1438.778	13	12	6	232	0	6	39.564	-75.597
172	1438.779	23	35	1	-1	12	0	0.000	0.000
173	1438.782	23	35	1	-1	12	0	0.000	0.000
174	1438.783	23	35	1	-1	12	0	0.000	0.000
175	1438.785	23	35	1	-1	12	0	0.000	0.000
176	1438.787	23	35	1	-1	12	0	0.000	0.000
177	1438.790	22	33	12	93	0	12	6.800	-58.167
178	1438.796	22	33	12	93	0	12	6.800	-58.167
179	1438.797	22	33	12	93	0	12	6.800	-58.167
180	1439.779	22	33	12	93	0	12	6.800	-58.167
181	1439.781	22	32	12	93	0	12	6.800	-58.167
186	1439.832	23	35	1	-1	12	0	0.000	0.000
189	1439.945	23	34	1	-1	12	0	0.000	0.000
190	1439.968	23	34	1	-1	12	0	0.000	0.000
190	1439.783	22	36	12	93	0	12	6.800	-58.167
192	1439.793	22	37	12	93	0	12	6.800	-58.167
193	1440.037	23	35	1	-1	12	0	0.000	0.000
194	1440.042	23	35	1	-1	12	0	0.000	0.000
195	1440.043	23	35	1	-1	12	0	0.000	0.000
196	1440.047	23	35	1	-1	12	0	0.000	0.000
197	1440.063	23	35	1	-1	12	0	0.000	0.000
198	1440.065	23	35	1	-1	12	0	0.000	0.000
199	1440.067	23	35	1	-1	12	0	0.000	0.000
200	1440.069	23	35	1	-1	12	0	0.000	0.000
200	1439.804	22	38	12	93	0	12	6.800	-58.167
201	1440.103	23	35	1	-1	12	0	0.000	0.000
202	1440.104	23	35	1	-1	12	0	0.000	0.000
204	1439.814	22	39	12	93	0	12	6.800	-58.167
207	1440.268	22	37	12	93	0	12	6.800	-58.167
208	1440.012	23	43	1	-1	12	0	0.000	0.000
208	1439.834	23	40	1	-1	12	0	0.000	0.000
208	1439.981	23	42	1	-1	12	0	0.000	0.000
210	1440.305	22	36	12	93	0	12	6.800	-58.167
211	1440.307	22	38	12	93	0	12	6.800	-58.167
211	1440.308	22	37	12	93	0	12	6.800	-58.167
212	1440.309	22	38	12	93	0	12	6.800	-58.167
212	1440.325	22	36	12	93	0	12	6.800	-58.167
213	1440.341	22	32	12	93	0	12	6.800	-58.167
214	1440.343	22	32	12	93	0	12	6.800	-58.167
215	1440.345	22	39	12	93	0	12	6.800	-58.167
216	1440.347	22	39	12	93	0	12	6.800	-58.167
217	1440.348	22	33	12	93	0	12	6.800	-58.167
218	1440.350	22	33	12	93	0	12	6.800	-58.167
219	1440.352	22	33	12	93	0	12	6.800	-58.167
220	1440.366	22	33	12	93	0	12	6.800	-58.167
221	1440.368	22	33	12	93	0	12	6.800	-58.167
222	1440.372	22	33	12	93	0	12	6.800	-58.167
